customer_id,total_spend,avg_spend,total_bookings,avg_rating,total_cancellation,recency_days,churn,churn_probability
1122,458,229,2,3.25,0,25,0,0
1123,1437,479,3,4.333333333,0,23,0,0.01
1124,419,419,1,2.9,0,24,0,0
1125,5077,1269.25,4,4.425,0,37,0,0
1126,129,129,1,3.2,0,146,1,1
1127,4488,1496,3,3.675,0,45,0,0
1128,900,900,1,3.666666667,0,76,0,0.01
1129,817,204.25,4,3.56,0,6,0,0
1130,1209,403,3,4,0,77,0,0.01
1131,0,,0,3.7,0,58,0,0
1133,277,138.5,2,3.8,0,99,1,0.99
1134,599,599,1,2.5,0,221,1,1
1135,0,,0,4.8,0,34,0,0
1136,2469,411.5,6,4.1,0,17,0,0.01
1137,319,319,1,3.9,0,122,1,1
1138,918,459,2,3.5,0,16,0,0
1139,4419,2209.5,2,3.35,0,112,1,1
1140,850,425,2,4.05,0,38,0,0
1141,538,269,2,4.25,0,49,0,0
1142,2399,1199.5,2,2.75,0,254,1,1
1143,1868,934,2,3.333333333,0,19,0,0
1144,7500,7500,1,4.7,0,198,1,1
1145,99,99,1,3.55,0,238,1,1
1146,1517,505.6666667,3,3.6,0,251,1,1
1147,877,292.3333333,3,3.975,0,11,0,0
1148,4000,4000,1,3.75,0,22,0,0
1150,429,429,1,3.1,0,106,1,0.99
1151,1299,1299,1,4.1,0,25,0,0
1152,4500,4500,1,4.3,0,324,1,1
1153,1259,251.8,5,4.08,0,28,0,0
1154,1189,594.5,2,4,0,103,1,1
1155,499,499,1,3.466666667,0,49,0,0
1158,900,900,1,3.35,0,33,0,0
1159,1126,375.3333333,3,4.066666667,0,13,0,0
1160,4000,4000,1,3.5,0,86,0,0
1161,139,139,1,4.075,0,20,0,0.01
1162,535,133.75,4,3.725,0,15,0,0
1163,778,389,2,3.733333333,0,166,1,1
1164,1629,814.5,2,3.5,0,84,0,0.01
1165,576,144,4,4.34,0,0,0,0.01
1166,100,100,1,3.3,0,267,1,1
1167,0,,0,4.3,0,63,0,0
1169,449,449,1,3.8,0,211,1,1
1170,948,474,2,3.35,0,57,0,0
1171,998,499,2,4.1,0,53,0,0
1172,0,,0,3.85,0,86,0,0
1173,119,119,1,3.5,0,131,1,1
1174,0,,0,4.7,0,186,1,1
1175,108,108,1,4.1,0,105,1,1
1176,0,,0,2.7,0,335,1,1
1178,269,134.5,2,3.366666667,0,44,0,0
1180,299,299,1,3.3,0,93,1,0.99
1181,89,89,1,4.5,0,322,1,1
1182,125,62.5,2,3.24,0,38,0,0.01
1183,269,269,1,2.9,0,340,1,0.98
1184,50,50,1,3.9,0,197,1,0.99
1185,199,199,1,4,0,139,1,1
1186,7656,1531.2,5,3.742857143,0,47,0,0
1187,486,243,2,3.633333333,0,193,1,1
1189,1278,319.5,4,4.16,0,9,0,0.01
1190,0,,0,3.35,0,29,0,0
1191,1499,1499,1,3.54,0,0,0,0
1192,100,100,1,4.2,0,205,1,1
1193,499,499,1,3.425,0,35,0,0
1194,836,209,4,3.62,0,4,0,0
1195,0,,0,3,0,32,0,0
1197,8477,2825.666667,3,3.216666667,0,14,0,0
1200,279,139.5,2,3.366666667,0,40,0,0.03
1201,1297,432.3333333,3,3.675,0,39,0,0
1202,418,209,2,3.666666667,0,8,0,0
1203,0,,0,3.4,0,325,1,1
1204,1557,519,3,3.666666667,0,158,1,1
1205,1107,553.5,2,3.35,0,195,1,1
1206,599,599,1,4.35,0,116,1,1
1207,7050,2350,3,3.966666667,0,12,0,0
1209,1038,519,2,4.2,0,58,0,0
1210,0,,0,4,0,159,1,1
1211,106,106,1,3.4,0,211,1,1
1212,524,262,2,4,0,229,1,1
1213,0,,0,2.5,0,183,1,1
1214,1299,1299,1,4,0,29,0,0
1215,1267,422.3333333,3,3.3,0,118,1,0.98
1216,4400,2200,2,4.066666667,0,92,1,1
1218,900,900,1,3.4,0,226,1,1
1219,3046,1015.333333,3,4.266666667,0,28,0,0
1220,169,169,1,3.1,0,35,0,0.01
1222,0,,0,3.8,0,45,0,0
1223,798,399,2,3.666666667,0,22,0,0
1224,427,142.3333333,3,4.233333333,0,190,1,1
1225,1747,582.3333333,3,3.933333333,0,101,1,0.98
1226,99,99,1,3.5,0,109,1,0.99
1227,0,,0,4.7,0,164,1,1
1228,100,100,1,4.5,0,297,1,1
1229,199,199,1,4.4,0,252,1,1
1231,1699,1699,1,3.6,0,235,1,1
1232,0,,0,3.45,0,150,1,1
1234,96,96,1,4.1,0,102,1,1
1235,1158,579,2,3.033333333,0,28,0,0
1236,2199,1099.5,2,3.3,0,42,0,0
1237,279,279,1,4.9,0,75,0,0
1238,6749,2249.666667,3,4.4,0,93,1,0.96
1240,500,500,1,4.5,0,33,0,0
1241,568,284,2,4.16,0,77,0,0.01
1242,148,148,1,4.4,0,158,1,1
1243,449,449,1,4,0,73,0,0
1244,11308,2827,4,3.32,0,3,0,0
1245,169,169,1,4.1,0,364,1,0.99
1246,500,500,1,4.1,0,209,1,1
1248,209,209,1,4.7,0,275,1,0.99
1249,269,134.5,2,4.175,0,32,0,0
1250,0,,0,3.666666667,0,1,0,0
1252,0,,0,4.8,0,120,1,1
1253,604,201.3333333,3,4.475,0,70,0,0
1254,0,,0,3.4,0,101,1,1
1255,868,434,2,3.666666667,0,137,1,0.99
1256,3500,3500,1,3.75,0,206,1,1
1258,499,499,1,2.8,0,154,1,1
1259,169,169,1,4.6,0,309,1,1
1260,1838,919,2,4.2,0,218,1,1
1261,1599,799.5,2,3.7,0,88,0,0
1262,464,154.6666667,3,4.1,0,75,0,0
1264,2616,654,4,3.6,0,37,0,0
1265,249,249,1,4.8,0,294,1,0.99
1266,279,279,1,3.65,0,76,0,0
1267,0,,0,3.55,0,193,1,1
1268,863,431.5,2,3,0,79,0,0
1269,2322,580.5,4,3.725,0,118,1,0.99
1270,647,215.6666667,3,3.4,0,3,0,0
1271,99,99,1,3.2,0,146,1,1
1272,568,284,2,4.15,0,298,1,1
1273,599,599,1,3.7,0,87,0,0.02
1274,1447,1447,1,3.1,0,51,0,0
1275,1069,534.5,2,4.366666667,0,56,0,0
1276,599,599,1,3.45,0,75,0,0
1277,1248,416,3,4.3,0,58,0,0
1278,327,327,1,2.7,0,187,1,1
1279,69,69,1,5,0,318,1,1
1280,578,289,2,3.7,0,144,1,1
1281,4000,4000,1,3.5,0,113,1,0.99
1282,1964,654.6666667,3,3.166666667,0,78,0,0.01
1283,0,,0,3,0,94,1,1
1284,1287,321.75,4,3.575,0,128,1,1
1285,1559,779.5,2,4.466666667,0,195,1,1
1287,4748,1582.666667,3,3.666666667,0,87,0,0.01
1288,119,119,1,4.2,0,235,1,1
1289,319,319,1,2.8,0,112,1,1
1290,449,449,1,3.2,0,121,1,0.99
1292,148,148,1,3.9,0,14,0,0
1293,110,110,1,4.7,0,6,0,0.04
1294,479,239.5,2,4.1,0,87,0,0.01
1295,0,,0,4.3,0,177,1,1
1297,449,449,1,3,0,199,1,0.99
1298,169,169,1,3.8,0,49,0,0.01
1299,649,649,1,4.7,0,170,1,1
1300,301,150.5,2,3.25,0,125,1,1
1301,0,,0,3.65,0,74,0,0
1302,500,500,1,3.2,0,22,0,0
1303,119,119,1,3.25,0,143,1,1
1304,1018,509,2,3.35,0,56,0,0
1305,1596,798,2,3.8,0,261,1,1
1306,1026,342,3,3.733333333,0,43,0,0.01
1307,518,259,2,3.966666667,0,214,1,1
1309,688,344,2,4.15,0,147,1,1
1310,800,400,2,3.575,0,63,0,0
1311,0,,0,3.3,0,21,0,0
1312,1918,639.3333333,3,3.766666667,0,182,1,1
1313,548,274,2,4.25,0,62,0,0
1314,169,169,1,3.7,0,83,0,0.01
1316,119,119,1,2.8,0,235,1,0.99
1317,6655,3327.5,2,4.05,0,114,1,1
1319,419,419,1,2.6,0,270,1,1
1320,1299,1299,1,3.433333333,0,128,1,1
1323,400,400,1,3,0,51,0,0.02
1325,0,,0,4.5,0,278,1,1
1326,3500,3500,1,4.15,0,16,0,0
1327,669,223,3,3.666666667,0,175,1,0.99
1328,300,300,1,3.9,0,102,1,1
1329,888,296,3,4.533333333,0,40,0,0.01
1330,1709,569.6666667,3,3.833333333,0,260,1,1
1331,509,254.5,2,3.85,0,67,0,0
1333,4000,4000,1,4.9,0,90,0,0.15
1334,449,449,1,4.5,0,266,1,1
1335,6500,6500,1,4.425,0,121,1,0.99
1336,1699,1699,1,3.95,0,165,1,1
1337,1657,828.5,2,3.52,0,35,0,0
1338,1668,834,2,2.966666667,0,9,0,0.01
1339,0,,0,4.8,0,186,1,1
1340,265,132.5,2,3.625,0,145,1,1
1341,2228,557,4,3.55,0,42,0,0
1342,800,800,1,3.4,0,320,1,1
1343,0,,0,3.4,0,12,0,0
1344,50,50,1,4.15,0,34,0,0
1345,599,599,1,4.3,0,187,1,1
1347,1899,949.5,2,3.75,0,88,0,0.01
1348,458,229,2,3.1,0,99,1,1
1349,449,449,1,4.9,0,176,1,0.99
1350,269,269,1,3.7,0,291,1,1
1352,108,108,1,3.1,0,39,0,0.01
1353,206,206,1,3.2,0,219,1,0.99
1355,189,189,1,3.566666667,0,134,1,1
1356,140,140,1,3.85,0,270,1,0.98
1357,200,100,2,3.75,0,1,0,0
1358,1999,1999,1,4.7,0,335,1,1
1359,3027,756.75,4,3.833333333,0,26,0,0
1360,219,219,1,3.6,0,62,0,0
1361,435,217.5,2,3.9,0,160,1,1
1362,10378,2594.5,4,4.325,0,32,0,0.01
1363,50,50,1,3.8,0,30,0,0
1364,6678,1335.6,5,3.82,0,164,1,0.99
1365,2247,749,3,4.133333333,0,9,0,0
1366,638,319,2,3.75,0,27,0,0
1368,108,108,1,4.5,0,61,0,0.04
1369,1012,337.3333333,3,3.233333333,0,39,0,0
1370,7500,7500,1,3.6,0,66,0,0
1371,1199,1199,1,3.9,0,282,1,1
1372,4669,2334.5,2,3.7,0,196,1,0.99
1373,0,,0,4.1,0,198,1,1
1374,3097,774.25,4,3.866666667,0,92,1,0.97
1375,100,100,1,3.325,0,119,1,1
1376,800,800,1,5,0,3,0,0.01
1377,4799,2399.5,2,4.7,0,206,1,1
1378,148,148,1,2.5,0,52,0,0.01
1379,269,269,1,4.4,0,337,1,1
1380,9628,3209.333333,3,3.766666667,0,2,0,0
1382,1786,446.5,4,3.35,0,26,0,0
1383,2514,628.5,4,4.18,0,51,0,0
1384,50,50,1,2.5,0,165,1,1
1385,2500,2500,1,2.75,0,171,1,1
1386,477,238.5,2,3.566666667,0,76,0,0
1387,179,179,1,4.9,0,96,1,1
1388,0,,0,3.95,0,224,1,1
1389,2217,554.25,4,3.75,0,2,0,0
1390,6619,3309.5,2,3.05,0,261,1,0.99
1391,59,59,1,4,0,279,1,1
1392,1356,339,4,3.525,0,34,0,0
1394,9200,9200,1,4.15,0,95,1,0.98
1395,918,459,2,3.766666667,0,108,1,1
1396,2388,796,3,2.866666667,0,214,1,1
1397,6351,1587.75,4,3.625,0,129,1,1
1398,2497,624.25,4,3.88,0,42,0,0
1399,719,359.5,2,3.25,0,219,1,0.99
1400,5998,1999.333333,3,4.266666667,0,48,0,0
1401,0,,0,3.7,0,259,1,1
1402,599,599,1,4.4,0,27,0,0.01
1403,878,439,2,3.733333333,0,37,0,0
1404,5328,1776,3,3.6,0,16,0,0
1405,1527,381.75,4,3.316666667,0,40,0,0
1406,1398,699,2,3.333333333,0,20,0,0
1407,100,100,1,4.7,0,160,1,1
1409,4500,4500,1,4.8,0,154,1,1
1410,199,199,1,3.5,0,82,0,0
1411,148,148,1,3.1,0,61,0,0.01
1412,210,210,1,4.1,0,312,1,1
1413,50,50,1,3.5,0,309,1,1
1416,399,399,1,3.4,0,248,1,1
1417,4129,2064.5,2,4.2,0,210,1,1
1418,169,169,1,4.9,0,22,0,0
1419,3575,1787.5,2,3.3,0,111,1,1
1420,0,,0,3.25,0,293,1,1
1421,818,409,2,3.466666667,0,9,0,0
1422,0,,0,2.8,0,85,0,0
1423,369,369,1,4.35,0,105,1,1
1424,8959,2986.333333,3,4,0,41,0,0
1425,0,,0,3.5,0,191,1,1
1426,918,459,2,3.55,0,4,0,0
1427,1338,669,2,3.05,0,269,1,1
1428,2248,749.3333333,3,3.32,0,65,0,0
1430,50,50,1,3.9,0,54,0,0
1431,4000,4000,1,4.4,0,32,0,0.01
1432,999,999,1,3.4,0,148,1,1
1433,255,127.5,2,4.233333333,0,75,0,0.01
1434,0,,0,3.25,0,114,1,1
1435,1799,1799,1,4.9,0,100,1,0.99
1436,0,,0,2.6,0,94,1,0.99
1437,0,,0,2.7,0,255,1,1
1439,509,509,1,3.3,0,350,1,1
1440,483,241.5,2,4.15,0,52,0,0
1441,6599,3299.5,2,4.033333333,0,114,1,1
1442,1619,809.5,2,3.533333333,0,257,1,1
1443,300,300,1,4.4,0,92,1,1
1444,6799,3399.5,2,3.333333333,0,75,0,0
1446,289,96.33333333,3,3.475,0,26,0,0.01
1447,0,,0,4.2,0,42,0,0
1448,399,399,1,4.4,0,263,1,1
1449,139,139,1,3.55,0,174,1,1
1450,219,219,1,4.1,0,237,1,1
1451,2298,766,3,3.2,0,95,1,0.98
1452,3299,1649.5,2,3.725,0,25,0,0
1453,0,,0,3.1,0,339,1,1
1454,668,334,2,3.3,0,35,0,0
1455,1816,605.3333333,3,3.825,0,244,1,1
1456,895,298.3333333,3,3.225,0,24,0,0.01
1458,0,,0,3.4,0,287,1,1
1459,1736,434,4,4.18,0,139,1,0.98
1460,6099,3049.5,2,3.5,0,57,0,0
1461,0,,0,2.6,0,243,1,1
1462,712,356,2,4.55,0,142,1,0.99
1463,169,169,1,4.5,0,320,1,1
1464,100,100,1,3.466666667,0,9,0,0
1466,1500,1500,1,2.5,0,218,1,0.98
1467,419,209.5,2,3.433333333,0,12,0,0
1469,6899,3449.5,2,3.55,0,315,1,1
1470,2814,562.8,5,3.76,0,105,1,0.97
1471,169,169,1,4.3,0,7,0,0
1473,6279,3139.5,2,3,0,14,0,0
1474,4217,1405.666667,3,4.333333333,0,165,1,0.98
1475,838,419,2,3.683333333,0,59,0,0
1476,0,,0,3.6,0,239,1,1
1477,150,150,1,3.45,0,1,0,0.01
1479,598,299,2,3.85,0,231,1,1
1480,1499,1499,1,3.533333333,0,30,0,0
1481,110,110,1,3.2,0,149,1,1
1482,4576,2288,2,4.2,0,36,0,0.01
1483,289,144.5,2,4.4,0,207,1,1
1484,648,216,3,3.433333333,0,109,1,1
1485,150,150,1,3.8,0,247,1,1
1487,1150,383.3333333,3,3.366666667,0,76,0,0.01
1488,2127,531.75,4,3.375,0,11,0,0
1489,4417,1104.25,4,3.96,0,23,0,0
1490,4550,2275,2,3.6,0,33,0,0
1492,1035,517.5,2,4.15,0,32,0,0
1493,2428,607,4,4.175,0,8,0,0
1494,857,285.6666667,3,3.5,0,53,0,0
1495,674,337,2,4.25,0,120,1,1
1496,0,,0,3.3,0,22,0,0
1497,0,,0,3.1,0,219,1,1
1498,398,199,2,4.1,0,301,1,1
1499,269,269,1,3.1,0,120,1,1
1500,79,79,1,4.6,0,353,1,1
1501,1999,1999,1,4,0,352,1,0.99
1502,568,284,2,3.766666667,0,82,0,0
1503,179,179,1,4.6,0,192,1,1
1504,129,129,1,3.5,0,105,1,0.99
1505,0,,0,3.6,0,313,1,1
1506,159,159,1,4.5,0,225,1,1
1507,2579,1289.5,2,4.266666667,0,33,0,0
1508,200,200,1,3,0,323,1,1
1509,1500,1500,1,3.5,0,112,1,1
1510,50,50,1,4.5,0,112,1,1
1512,6000,6000,1,3.8,0,88,0,0.01
1513,169,169,1,3,0,176,1,1
1514,6704,1676,4,3.425,0,109,1,0.99
1515,849,424.5,2,3.625,0,11,0,0
1516,269,269,1,4.333333333,0,171,1,1
1517,0,,0,3.1,0,18,0,0
1519,9648,2412,4,4,0,17,0,0
1520,599,599,1,3.68,0,18,0,0
1521,900,900,1,4,0,155,1,1
1522,1999,1999,1,4.35,0,192,1,1
1523,1199,1199,1,3.9,0,40,0,0
1524,468,156,3,3.533333333,0,81,0,0.01
1525,5778,1155.6,5,3.8,0,125,1,1
1526,1248,624,2,3.9,0,245,1,1
1528,539,269.5,2,3.466666667,0,6,0,0
1529,978,489,2,4.166666667,0,14,0,0
1531,588,294,2,3.8,0,8,0,0
1532,1629,814.5,2,4.1,0,195,1,1
1536,258,129,2,4.3,0,68,0,0
1537,1018,509,2,3.2,0,82,0,0.01
1539,139,139,1,2.85,0,98,1,0.98
1540,429,214.5,2,3.4,0,4,0,0
1541,2487,621.75,4,3.48,0,4,0,0
1542,1699,1699,1,3.4,0,29,0,0
1545,878,439,2,3.3,0,30,0,0
1546,4648,2324,2,3.633333333,0,16,0,0
1547,169,169,1,2.7,0,26,0,0
1548,50,50,1,3.5,0,207,1,1
1550,319,319,1,4.1,0,268,1,1
1551,150,150,1,3.15,0,132,1,0.99
1552,487,162.3333333,3,3.966666667,0,34,0,0
1553,50,50,1,2.8,0,92,1,1
1554,359,359,1,4.1,0,204,1,1
1555,848,424,2,3.15,0,91,1,0.99
1556,939,469.5,2,4.05,0,128,1,1
1557,0,,0,3.75,0,277,1,1
1558,558,279,2,3.1,0,134,1,1
1559,50,50,1,4.366666667,0,29,0,0.01
1560,189,189,1,4.35,0,224,1,1
1562,1798,599.3333333,3,3.15,0,27,0,0
1563,4149,2074.5,2,3.933333333,0,219,1,1
1564,0,,0,3,0,237,1,1
1565,1200,1200,1,2.6,0,284,1,1
1566,568,284,2,3.8,0,107,1,1
1567,4500,4500,1,3.3,0,26,0,0
1568,448,224,2,3.2,0,53,0,0
1569,767,255.6666667,3,2.766666667,0,42,0,0
1570,4500,4500,1,3.5,0,123,1,1
1571,409,204.5,2,3.25,0,177,1,1
1572,1299,649.5,2,3.733333333,0,308,1,1
1573,0,,0,3.1,0,355,1,1
1574,1016,254,4,3.4,0,30,0,0
1575,488,244,2,3.35,0,106,1,1
1577,0,,0,4.25,0,90,0,0.04
1578,149,149,1,3.85,0,18,0,0
1579,2443,610.75,4,3.475,0,39,0,0
1580,691,172.75,4,4.075,0,38,0,0
1581,1736,434,4,3.35,0,72,0,0
1582,269,269,1,3.4,0,20,0,0
1583,1146,573,2,3.566666667,0,105,1,0.98
1584,0,,0,4,0,288,1,1
1585,449,449,1,4.4,0,167,1,1
1586,449,449,1,3.3,0,38,0,0
1587,699,699,1,3.7,0,0,0,0
1588,0,,0,3.3,0,122,1,1
1589,419,419,1,3.3,0,206,1,1
1590,1999,999.5,2,3.7,0,89,0,0
1591,139,139,1,3.7,0,92,1,0.99
1592,4609,1536.333333,3,3.466666667,0,191,1,1
1593,4148,1382.666667,3,3.8,0,93,1,0.96
1594,419,419,1,4.6,0,158,1,1
1595,408,204,2,3.2,0,0,0,0
1596,169,169,1,4.6,0,165,1,0.99
1597,799,799,1,3.95,0,51,0,0
1598,279,279,1,3.6,0,304,1,1
1599,239,239,1,4.7,0,338,1,0.99
1600,1008,336,3,3,0,53,0,0
1601,106,106,1,4.65,0,206,1,1
1602,219,219,1,2.7,0,219,1,0.99
1603,1973,657.6666667,3,3.5,0,3,0,0
1605,1188,594,2,2.75,0,9,0,0.01
1606,0,,0,3.85,0,48,0,0
1607,6610,3305,2,3.35,0,22,0,0
1608,669,334.5,2,2.9,0,3,0,0
1609,1699,1699,1,4,0,16,0,0
1610,0,,0,4.7,0,247,1,1
1612,638,319,2,3.55,0,9,0,0
1613,0,,0,4.8,0,261,1,1
1614,173,86.5,2,3.933333333,0,75,0,0
1615,5075,1015,5,3.56,0,25,0,0
1616,179,179,1,2.5,0,156,1,0.97
1617,847,282.3333333,3,4.025,0,57,0,0
1618,360,360,1,4.8,0,246,1,1
1619,690,690,1,3.6,0,44,0,0
1621,568,284,2,4.05,0,113,1,1
1622,0,,0,4.5,0,66,0,0
1623,804,402,2,4.133333333,0,211,1,1
1624,0,,0,2.8,0,194,1,1
1625,239,239,1,4.9,0,2,0,0
1627,949,474.5,2,4.566666667,0,64,0,0
1628,949,474.5,2,3.38,0,3,0,0
1629,948,474,2,4.4,0,92,1,0.99
1630,298,149,2,4.1,0,145,1,0.99
1631,715,715,1,4.05,0,141,1,0.99
1632,1505,752.5,2,4.066666667,0,218,1,1
1633,1949,649.6666667,3,3.766666667,0,10,0,0
1634,578,289,2,2.6,0,9,0,0
1635,99,99,1,4.2,0,153,1,1
1636,188,94,2,3.166666667,0,94,1,0.99
1637,538,269,2,4.5,0,260,1,0.99
1638,3500,3500,1,4.8,0,183,1,1
1639,189,189,1,2.766666667,0,92,1,0.99
1640,4745,1581.666667,3,3.633333333,0,92,1,0.97
1641,219,219,1,3.05,0,119,1,0.99
1643,2822,705.5,4,3.15,0,99,1,0.97
1644,0,,0,4.1,0,361,1,1
1645,1317,329.25,4,3.94,0,82,0,0
1646,0,,0,3.9,0,91,1,0.97
1647,0,,0,3.3,0,131,1,1
1648,4250,2125,2,3.766666667,0,66,0,0
1649,13107,3276.75,4,3.725,0,54,0,0.01
1650,449,449,1,3.55,0,52,0,0
1651,1200,1200,1,4.8,0,254,1,1
1652,0,,0,3.1,0,28,0,0
1653,369,369,1,4.1,0,99,1,1
1654,100,100,1,2.9,0,172,1,0.99
1655,699,699,1,5,0,120,1,1
1656,1046,348.6666667,3,3.575,0,51,0,0.01
1657,599,599,1,3.4,0,12,0,0
1658,447,223.5,2,3.975,0,76,0,0
1659,333,166.5,2,3.466666667,0,58,0,0
1660,1999,1999,1,3.6,0,9,0,0
1661,6276,1046,6,3.866666667,0,1,0,0.02
1662,279,279,1,4.3,0,78,0,0.01
1663,749,374.5,2,3.5,0,95,1,1
1664,456,228,2,2.9,0,33,0,0
1665,429,429,1,2.6,0,258,1,0.99
1666,129,129,1,4.3,0,83,0,0.01
1667,697,232.3333333,3,3.966666667,0,165,1,1
1668,550,550,1,3.9,0,38,0,0
1669,150,150,1,2.95,0,233,1,1
1670,169,169,1,3.5,0,133,1,1
1671,218,109,2,4.033333333,0,111,1,0.99
1672,5005,2502.5,2,4.15,0,137,1,1
1673,1516,505.3333333,3,4.3,0,57,0,0
1674,66,66,1,4.2,0,165,1,1
1675,119,119,1,3.7,0,340,1,1
1677,499,499,1,4.6,0,318,1,1
1678,110,110,1,3.75,0,40,0,0.02
1679,4500,4500,1,2.9,0,267,1,0.99
1680,1978,659.3333333,3,3.775,0,237,1,1
1681,1998,999,2,4.4,0,65,0,0.01
1682,119,119,1,3.2,0,202,1,1
1683,0,,0,3.9,0,254,1,1
1684,1962,327,6,4.175,0,0,0,0.04
1685,1705,568.3333333,3,4.166666667,0,20,0,0
1686,179,179,1,3.9,0,338,1,1
1687,2208,736,3,3.7,0,40,0,0
1688,7099,3549.5,2,3.1,0,127,1,1
1689,547,136.75,4,3.58,0,28,0,0.01
1690,89,89,1,2.7,0,331,1,1
1691,239,239,1,3.6,0,208,1,1
1692,998,499,2,3.35,0,72,0,0
1694,10149,3383,3,3.2,0,29,0,0.01
1695,1699,1699,1,2.5,0,49,0,0.01
1696,0,,0,3.7,0,161,1,1
1697,119,119,1,3.7,0,76,0,0
1698,968,484,2,3.466666667,0,57,0,0
